time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl
1967,795,206,407040,0.0005141505389474332,-0.7988106235861778,0.1357421875,0.2,-75.51268768310547,3176,0.004200286231935024,0.0003,5.438194436435673e-09,0.013522695
1970,796,206,407552,0.00034353582304902375,-0.7683809287846088,0.1669921875,0.2,-46.72039031982422,3180,-0.018204985186457634,0.0003,7.967898771332749e-09,0.007717864
1972,797,206,408064,0.006868984492029995,-0.8204321805387735,0.24609375,0.2,-38.16747283935547,3184,0.0209144689142704,0.0003,5.084474834216035e-09,0.019955417
1975,798,206,408576,0.0017544205184094608,-0.6983638741075993,0.154296875,0.2,-42.99888229370117,3188,-0.020619401708245277,0.0003,3.2610258729470765e-09,0.02633148
1977,799,206,409088,0.0004920621868222952,-0.6546882390975952,0.099609375,0.2,-37.180580139160156,3192,-0.01219872571527958,0.0003,3.800814395854557e-09,0.015308546
1980,800,206,409600,0.004562740563414991,-0.6746702790260315,0.17724609375,0.2,-41.397823333740234,3196,-0.013120556250214577,0.0003,3.4371577667391406e-09,0.046917796
1982,801,206,410112,0.0011984329903498292,-0.7092215083539486,0.09716796875,0.2,-13.751175880432129,3200,0.0025502729695290327,0.0003,1.9020920564299937e-08,0.006365766
1984,802,206,410624,0.0013775065017398447,-0.7215011119842529,0.1279296875,0.2,-56.412837982177734,3204,-0.001985658658668399,0.0003,7.072282356967996e-09,0.019062692
1987,803,206,411136,3.857869887724519e-05,-0.7522742934525013,0.08154296875,0.2,-65.19197082519531,3208,0.006121197249740362,0.0003,1.4281780471789296e-08,0.004352673
1989,804,206,411648,0.00497602325049229,-0.7744667045772076,0.208984375,0.2,-15.855945587158203,3212,-0.0010189570020884275,0.0003,7.100574433635543e-08,0.028180625
1992,805,206,412160,-0.00549024049541913,-0.8443295564502478,0.1396484375,0.2,-67.48754119873047,3216,-0.01908484660089016,0.0003,2.3716147830310508e-08,0.008176157
1994,806,206,412672,0.0035779617610387504,-0.8085509985685349,0.14111328125,0.2,-34.92026901245117,3220,-0.014644043520092964,0.0003,3.766188340012522e-08,0.027766142
1997,807,206,413184,0.004943550855387002,-0.7770578227937222,0.18017578125,0.2,-54.41476058959961,3224,-0.014692750759422779,0.0003,3.3133128156739855e-07,0.019943504
1999,808,206,413696,0.0020502701809164137,-0.7630571760237217,0.19580078125,0.2,-48.758018493652344,3228,-0.013291261158883572,0.0003,1.4181804846885582e-05,0.0057730232
2002,809,206,414208,0.005770597286755219,-0.7813820540904999,0.1083984375,0.2,-0.08375132083892822,3232,-0.015692733228206635,0.0003,8.853294932276157e-06,0.0070002126
2004,810,206,414720,0.00412745020003058,-0.8199142776429653,0.15234375,0.2,-0.5048791170120239,3236,0.03030998259782791,0.0003,1.6693560161984422e-07,0.009293382
2006,811,206,415232,0.004212437081150711,-0.8967391438782215,0.20263671875,0.2,-0.5214821100234985,3240,-0.015124871395528316,0.0003,6.507702373648172e-07,0.017340787
2009,812,206,415744,0.00589193549240008,-0.9518724661320448,0.14892578125,0.2,-0.7395559549331665,3244,-0.008830041624605656,0.0003,1.155390451007543e-06,0.016007915
2011,813,206,416256,-0.0010877577005885541,-0.8484568707644939,0.2001953125,0.2,-6.468862056732178,3248,-0.009184187278151512,0.0003,6.661468532342951e-08,0.012175745
2014,814,206,416768,-0.0005366873810999095,-0.8621586170047522,0.14404296875,0.2,-6.926663875579834,3252,-0.04708533361554146,0.0003,2.6013267567792653e-08,0.008923014
2016,815,206,417280,-0.0014499273092951626,-0.8399337138980627,0.11376953125,0.2,-10.369837760925293,3256,-0.008055105805397034,0.0003,2.0428075995782002e-06,0.009723108
2019,816,206,417792,0.0024573412956669927,-0.94226317666471,0.15771484375,0.2,-15.303386688232422,3260,-0.00550113944336772,0.0003,2.309694375718374e-05,0.01082809
2021,817,206,418304,-0.006175522226840258,-0.8979321978986263,0.32373046875,0.2,-0.15728294849395752,3264,-0.03523695468902588,0.0003,0.0002108747175140202,0.016316352
2024,818,206,418816,-0.0037992868456058204,-0.8531789109110832,0.28271484375,0.2,-3.3737239837646484,3268,-0.019880782812833786,0.0003,6.780042119403085e-08,0.036619626
2026,819,206,419328,0.0008834678592393175,-0.8235033955425024,0.17578125,0.2,-6.357086181640625,3272,0.003187759080901742,0.0003,1.6768270411082753e-08,0.025902584
2028,820,206,419840,0.0018938396096928045,-0.85969571582973,0.07958984375,0.2,-3.9054174423217773,3276,-0.0021855465602129698,0.0003,2.142459125942242e-07,0.0016509361
2031,821,206,420352,0.012536716181784868,-0.8005215190351009,0.2578125,0.2,-0.7666072845458984,3280,0.05309343338012695,0.0003,2.4063687478648177e-05,0.043693595
2033,822,206,420864,0.002011110045714304,-0.824282418936491,0.14794921875,0.2,-14.694550514221191,3284,-0.010111447423696518,0.0003,4.1343409173832946e-05,0.00732296
2036,823,206,421376,0.0016069922712631524,-0.8429831843823195,0.1142578125,0.2,-0.9630053043365479,3288,-0.006208733189851046,0.0003,2.9659562748030055e-05,0.005384418
2038,824,206,421888,0.003768847556784749,-0.849117761477828,0.17626953125,0.2,-0.17337512969970703,3292,-0.018488826230168343,0.0003,0.00013494450826012638,0.011204012
2041,825,206,422400,-0.0058741861721500754,-0.7939906287938356,0.244140625,0.2,-2.0718116760253906,3296,-0.020061476156115532,0.0003,3.399406659276849e-06,0.010328575
2043,826,206,422912,0.00010685119195841253,-0.8279055971652269,0.1005859375,0.2,-0.7917507886886597,3300,-0.019944198429584503,0.0003,4.596495101205633e-08,0.016707001
2045,827,206,423424,0.008354251098353416,-0.8588145487010479,0.21240234375,0.2,-1.032106637954712,3304,0.007428116165101528,0.0003,5.024599382397188e-08,0.012145974
2048,828,206,423936,-0.0006757685914635658,-0.7532134186476469,0.32080078125,0.2,-0.9332119226455688,3308,7.01370881870389e-05,0.0003,3.228676472011305e-08,0.02135776
2050,829,206,424448,0.0008893873018678278,-0.778468269854784,0.03759765625,0.2,-1.1172661781311035,3312,-0.019771037623286247,0.0003,1.7065007348882055e-07,0.005361269
2053,830,206,424960,-0.0012188513501314446,-0.7415043711662292,0.08154296875,0.2,-3.307173728942871,3316,-0.005214949604123831,0.0003,6.015045193180635e-08,0.011304354
2055,831,206,425472,0.0009975160064641386,-0.7067784778773785,0.1630859375,0.2,-3.7153820991516113,3320,-0.002810522448271513,0.0003,1.8250704697519993e-08,0.025828294
2058,832,206,425984,0.00029078125953674316,-0.7644233163446188,0.16748046875,0.2,-6.034417152404785,3324,-0.0041373660787940025,0.0003,2.1739666518361123e-08,0.021300834
2060,833,206,426496,0.0023463157122023404,-0.7646425068378448,0.1875,0.2,-7.57404899597168,3328,-0.015454995445907116,0.0003,1.2623001664768818e-08,0.0071967253
2063,834,206,427008,-0.000915697222808376,-0.7411209605634212,0.10400390625,0.2,-12.87360954284668,3332,-0.008463095873594284,0.0003,1.2424397767551998e-08,0.013213295
2065,835,206,427520,-0.0017760659684427083,-0.7072830554097891,0.1630859375,0.2,-11.424629211425781,3336,-0.006073187105357647,0.0003,1.0845411860249676e-08,0.011478659
2068,836,206,428032,-0.006950163398869336,-0.8618527818471193,0.17138671875,0.2,-11.579273223876953,3340,-0.03953073173761368,0.0003,6.6709044885260305e-09,0.045551978
2070,837,206,428544,0.003284263890236616,-0.7579950150102377,0.23291015625,0.2,-28.328670501708984,3344,-0.007870257832109928,0.0003,8.848716759324304e-09,0.019621613
2072,838,206,429056,0.0022774366661906242,-0.7506972756236792,0.16357421875,0.2,-25.129899978637695,3348,-0.016327468678355217,0.0003,8.517626978732373e-09,0.0120037645
2075,839,206,429568,-0.0021815734799019992,-0.7256267797201872,0.08154296875,0.2,-90.15261840820312,3352,-0.017322931438684464,0.0003,6.490147183568773e-09,0.006143593
